,Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Sales_Method,Profit_Margin
21,Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,46,403,1854,1038,Outlet,44.01
22,West Gear,1185732,3/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,2800,In-store,65
23,West Gear,1185732,6/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,3200,In-store,60
24,West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store,65
25,West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store,65
26,Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,3200,Online,60
27,Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,2400,Online,60
28,Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,47,400,1880,978,Outlet,47.98
29,Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,40,390,1560,811,Outlet,48.01
30,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,33,388,1280,666,Outlet,47.97
31,Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,34,384,1306,679,Outlet,48.01
32,Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,1166,559,Outlet,52.06
33,Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,4125,Outlet,45
34,Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,2625,In-store,65
35,West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store,60
36,West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store,60
37,Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,2250,Online,60
38,West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,5625,1969,Online,65
39,West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,2250,Online,60
40,Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,41,375,1538,800,Outlet,47.98
41,Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet,58.99
42,Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet,58.99
43,Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,33,372,1228,663,Outlet,46.01
44,Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,44,366,1610,837,Outlet,48.01
45,Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,56,360,2016,1250,Online,38
46,Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,37,359,1328,452,Outlet,65.96
47,Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,48,355,1704,511,Outlet,70.01
48,Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,46,354,1628,1026,Online,36.98
49,Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,47,352,1654,447,Outlet,72.97
50,Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,3063,In-store,64.99
51,Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,3500,In-store,60
52,Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store,64.99
53,Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store,64.99
54,West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,3063,In-store,64.99
55,West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,1225,In-store,65
56,Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,Online,60
57,Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,8750,3500,Online,60
58,Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,3063,Online,64.99
59,Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,1400,Online,60
60,Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,3500,Online,60
61,Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,2100,Online,60
62,West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,2800,Online,60
63,West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,7000,2450,Online,65
64,Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,3063,Online,64.99
65,Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,5250,1838,Online,64.99
66,Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,8750,3063,Online,64.99
67,West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,3500,In-store,60
68,Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,32,350,1120,414,Outlet,63.04
69,Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,36,350,1260,365,Outlet,71.03
70,Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,43,350,1505,497,Outlet,66.98
71,Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,45,350,1575,473,Outlet,69.97
72,Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,38,350,1330,758,Outlet,43.01
73,Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,907,426,Outlet,53.03
74,Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,46,347,1596,511,Outlet,67.98
75,West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,2415,In-store,65
76,West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,41,341,1398,601,Outlet,57.01
77,Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,41,340,1394,474,Outlet,66
78,Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,48,340,1632,490,Outlet,69.98
79,West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,41,338,1386,527,Outlet,61.98
80,Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,47,336,1579,963,Online,39.01
81,Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,39,333,1299,351,Outlet,72.98
82,Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,42,333,1399,559,Outlet,60.04
83,Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,32,333,1066,426,Outlet,60.04
84,Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,34,333,1132,476,Outlet,57.95
85,West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,46,332,1527,321,Outlet,78.98
86,Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,35,332,1162,546,Outlet,53.01
87,Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,38,330,1254,401,Outlet,68.02
88,Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,50,330,1650,462,Outlet,72
89,Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,2021,1152,Online,43
90,Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store,60
91,Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store,60
92,West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,2600,In-store,60
93,West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,8125,2844,In-store,65
94,West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,15,325,4875,1706,In-store,65.01
95,West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,3250,1300,In-store,60
96,West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,20,325,6500,2275,In-store,65
97,Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,3250,Online,60
98,Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,325,8125,3250,Online,60
99,Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20,325,6500,2275,Online,65
100,Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,15,325,4875,1950,Online,60
101,Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,25,325,8125,2844,Online,65
102,West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,325,4875,1950,Online,60
103,Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,20,325,6500,2275,Online,65
104,Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,20,325,6500,2275,Online,65
105,West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,20,325,6500,2600,In-store,60
106,Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,58,325,1885,1150,Online,38.99
107,Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,40,324,1296,518,Outlet,60.03
108,Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,63,323,2035,1140,Online,43.98
109,Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,32,323,1034,393,Outlet,61.99
110,Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,36,323,1163,314,Outlet,73
111,Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,33,323,1066,448,Outlet,57.97
112,Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,53,322,1707,478,Outlet,72
113,West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,40,322,1288,425,Outlet,67
114,Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,33,322,1063,446,Outlet,58.04
115,Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,30,322,966,483,Outlet,50
116,Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,Women's Street Footwear,31,322,998,559,Outlet,43.99
117,West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,25,320,8000,3200,Online,60
118,Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,36,320,1152,403,Outlet,65.02
119,Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,44,320,1408,408,Outlet,71.02
120,Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,59,319,1882,1129,Online,40.01
121,Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,37,319,1180,531,Online,55
122,Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,Men's Street Footwear,43,319,1372,782,Online,43
123,Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,41,318,1304,482,Outlet,63.04
124,Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,54,317,1712,1096,Online,35.98
125,Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,39,315,1229,405,Outlet,67.05
126,Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,397,Outlet,64.01
127,Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,364,Outlet,67
128,Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,28,315,882,335,Outlet,62.02
129,Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,36,315,1134,442,Outlet,61.02
130,Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,44,315,1386,513,Outlet,62.99
131,Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,24,315,756,295,Outlet,60.98
132,Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,36,315,1134,431,Outlet,61.99
133,Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,39,315,1229,565,Outlet,54.03
134,Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,27,314,848,348,Outlet,58.96
135,Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,37,314,1162,430,Outlet,62.99
136,Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,39,314,1225,576,Outlet,52.98
137,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,46,313,1440,893,Online,37.99
138,Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,55,313,1722,1050,Online,39.02
139,Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,62,312,1934,1238,Online,35.99
140,Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,1186,700,Online,40.98
141,Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,40,312,1248,449,Outlet,64.02
142,Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,1959,1156,Online,40.99
143,Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,43,310,1333,467,Outlet,64.97
144,Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,53,308,1632,669,Online,59.01
145,Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,1879,996,Online,46.99
146,Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,43,306,1316,487,Outlet,62.99
147,Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,43,306,1316,461,Outlet,64.97
148,Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,34,306,1040,406,Outlet,60.96
149,Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,41,306,1255,502,Outlet,60
150,Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,20,306,612,257,Outlet,58.01
151,Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,23,306,704,260,Outlet,63.07
152,Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,29,306,887,364,Outlet,58.96
153,Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,31,306,949,379,Outlet,60.06
154,Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,41,306,1255,690,Outlet,45.02
155,West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,60,306,1836,477,Outlet,74.02
156,West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,46,306,1408,282,Outlet,79.97
157,Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,36,306,1102,496,Outlet,54.99
158,Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,37,306,1132,668,Outlet,40.99
159,West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,62,306,1897,816,Outlet,56.98
160,Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,64,305,1952,761,Online,61.01
161,Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,27,305,824,305,Outlet,62.99
162,Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,33,305,1007,382,Outlet,62.07
163,Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,39,305,1190,511,Outlet,57.06
164,West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,60,304,1824,1040,Online,42.98
165,Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,36,302,1087,565,Outlet,48.02
166,West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,45,302,1359,544,Outlet,59.97
167,Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,3150,Outlet,65
168,Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,30,300,9000,4050,Outlet,55
169,Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,3150,In-store,65
170,Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,1575,In-store,65
171,West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,2400,In-store,60
172,West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,300,6000,2100,In-store,65
173,Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,3600,Online,60
174,Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online,60
175,Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online,60
176,Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,7500,2625,Online,65
177,Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,300,4500,1800,Online,60
178,Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,20,300,6000,2400,Online,60
179,Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15,300,4500,1575,Online,65
180,Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,300,4500,1575,Online,65
181,Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,3150,Online,65
182,Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,3150,Online,65
183,West Gear,1185732,6/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,300,9000,3150,In-store,65
184,West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,7500,2625,In-store,65
185,West Gear,1185732,2/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,20,300,6000,2400,In-store,60
186,West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,25,300,7500,3000,In-store,60
187,West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,30,300,9000,3600,In-store,60
188,Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Street Footwear,30,300,9000,2700,In-store,70
189,Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,45,300,1350,837,Online,38
190,Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,51,300,1530,643,Online,57.97
191,West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,52,300,1560,874,Online,43.97
192,Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,60,299,1794,1076,Online,40.02
193,West Gear,1185732,9/11/2020,Southeast,Florida,Miami,Men's Street Footwear,60,299,1794,1076,Online,40.02
194,Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,42,298,1252,713,Outlet,43.05
195,Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,38,298,1132,430,Outlet,62.01
196,West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,60,298,1788,751,Outlet,58
197,Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,39,297,1158,533,Online,53.97
198,Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,38,297,1129,429,Outlet,62
199,Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,36,297,1069,470,Outlet,56.03
200,Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,68,297,2020,747,Outlet,63.02
201,Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,37,296,1095,383,Outlet,65.02
202,Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,37,296,1095,449,Outlet,59
203,Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,295,7375,2581,In-store,65
204,Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,35,295,1033,434,Outlet,57.99
205,Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,32,295,944,538,Outlet,43.01
206,Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,28,295,826,339,Outlet,58.96
207,Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,29,295,856,342,Outlet,60.05
208,Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,60,294,1764,882,Online,50
209,Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,43,294,1264,531,Outlet,57.99
210,Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,47,293,1377,868,Online,36.96
211,West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,51,293,1494,598,Online,59.97
212,Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,48,290,1392,529,Online,62
213,Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,59,290,1711,616,Online,64
214,Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,62,290,1798,665,Online,63.01
215,Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,68,290,1972,749,Online,62.02
216,Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,68,290,1972,690,Online,65.01
217,West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,55,290,1595,941,Online,41
218,Foot Locker,1185732,12/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,67,290,1943,1166,Online,39.99
219,Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,43,289,1243,398,Outlet,67.98
220,Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,31,289,896,331,Outlet,63.06
221,Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,33,289,954,381,Outlet,60.06
222,Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,51,289,1474,472,Outlet,67.98
223,Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,23,289,665,279,Outlet,58.05
224,Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,44,289,1272,725,Outlet,43
225,West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,28,289,809,340,Outlet,57.97
226,West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,36,289,1040,343,Outlet,67.02
227,Kohl's,1189833,5/7/2021,West,California,Los Angeles,Men's Street Footwear,38,289,1098,505,Outlet,54.01
228,Foot Locker,1185732,7/16/2021,South,Mississippi,Jackson,Men's Street Footwear,47,289,1358,625,Outlet,53.98
229,Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,36,288,1037,435,Outlet,58.05
230,Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,45,288,1296,441,Outlet,65.97
231,Kohl's,1189833,5/26/2021,West,California,Los Angeles,Men's Athletic Footwear,42,288,1210,339,Outlet,71.98
232,West Gear,1185732,2/10/2021,Southeast,Florida,Orlando,Men's Street Footwear,36,288,1037,487,Outlet,53.04
233,Foot Locker,1185732,9/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,51,287,1464,849,Online,42.01
234,Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,30,287,861,362,Outlet,57.96
235,West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,40,287,1148,402,Outlet,64.98
236,West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,42,287,1205,205,Outlet,82.99
237,Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,61,286,1745,698,Online,60
